questionID,examID,course,exam_type,creation_dt_time,creation_hr,creation_dt,correct,marked,q_ordinal,difficulty,nth_exam,nth_e_or_q,weekday,minutes_used,subcat1,subcat2,subcat3,cat1,cat2,cat3,approx_remaining_time,EL_begin,EL_change,EL_end,hrs_since_previous_e,hist_cat_n,hist_subcat_diff,hist_subcat_diff_correct,hist_tot_time_correct,hist_total_time_e,hist_total_time_q,hist_greater_diff_time_correct,hist_greater_diff,hist_net_diff,hist_n_marked,hist_marked_incorrect,hist_repeat_question,hist_net_rel_diff
2016-08-25 15:13:45.2330000 +00:00381294.47,P2016-08-25 11:13:45,P,e,2016-08-25T15:13:45Z,11.216666666666667,2016-08-25,TRUE,FALSE,30,4.47,2,2,Thursday,6.35,other,convolution,convolution,multivariate probability distributions,multivariate probability distributions,multivariate probability distributions,136.76666666666668,3,3.18,6.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-08-25 15:13:45.2330000 +00:00904285.66,P2016-08-25 11:13:45,P,e,2016-08-25T15:13:45Z,11.216666666666667,2016-08-25,TRUE,FALSE,29,5.66,2,2,Thursday,15.066666666666666,joint distributions and marginal distributions,joint distributions and marginal distributions,joint distributions and marginal distributions,multivariate probability distributions,multivariate probability distributions,multivariate probability distributions,121.70000000000002,3,3.18,6.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-08-25 15:13:45.2330000 +00:001335274.79,P2016-08-25 11:13:45,P,e,2016-08-25T15:13:45Z,11.216666666666667,2016-08-25,FALSE,FALSE,28,4.79,2,2,Thursday,22.25,conditional probability and independence,conditional probability and independence,conditional probability and independence,general probability,general probability,general probability,99.45000000000002,3,3.18,6.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-08-25 15:13:45.2330000 +00:00366264.21,P2016-08-25 11:13:45,P,e,2016-08-25T15:13:45Z,11.216666666666667,2016-08-25,TRUE,FALSE,27,4.21,2,2,Thursday,6.1,other,basic probability concepts,basic probability concepts,general probability,general probability,general probability,93.35000000000001,3,3.18,6.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-08-25 15:13:45.2330000 +00:00727257.59,P2016-08-25 11:13:45,P,e,2016-08-25T15:13:45Z,11.216666666666667,2016-08-25,FALSE,FALSE,26,7.59,2,2,Thursday,12.116666666666667,other,multivariate distributions: bivariate uniform,multivariate distributions: bivariate uniform,multivariate probability distributions,multivariate probability distributions,multivariate probability distributions,81.23333333333335,3,3.18,6.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-08-25 15:13:45.2330000 +00:00471248.56,P2016-08-25 11:13:45,P,e,2016-08-25T15:13:45Z,11.216666666666667,2016-08-25,TRUE,FALSE,25,8.56,2,2,Thursday,7.85,counting techniques and combinatorial probability,counting techniques and combinatorial probability,counting techniques and combinatorial probability,general probability,general probability,general probability,73.38333333333334,3,3.18,6.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-08-25 15:13:45.2330000 +00:0055239.58,P2016-08-25 11:13:45,P,e,2016-08-25T15:13:45Z,11.216666666666667,2016-08-25,FALSE,FALSE,24,9.58,2,2,Thursday,0.9166666666666666,random variables,random variables,random variables,univariate probability distributions,univariate probability distributions,univariate probability distributions,72.46666666666667,3,3.18,6.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-08-25 15:13:45.2330000 +00:00632223.62,P2016-08-25 11:13:45,P,e,2016-08-25T15:13:45Z,11.216666666666667,2016-08-25,TRUE,FALSE,23,3.62,2,2,Thursday,10.533333333333333,other,policy limit,policy limit,insurance and risk management,insurance and risk management,insurance and risk management,61.93333333333334,3,3.18,6.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-08-25 15:13:45.2330000 +00:00450219.05,P2016-08-25 11:13:45,P,e,2016-08-25T15:13:45Z,11.216666666666667,2016-08-25,TRUE,FALSE,22,9.05,2,2,Thursday,7.5,other,multivariate transformations,multivariate transformations,multivariate probability distributions,multivariate probability distributions,multivariate probability distributions,54.43333333333334,3,3.18,6.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-08-25 15:13:45.2330000 +00:00275207.6,P2016-08-25 11:13:45,P,e,2016-08-25T15:13:45Z,11.216666666666667,2016-08-25,TRUE,FALSE,21,7.6,2,2,Thursday,4.583333333333333,counting techniques and combinatorial probability,counting techniques and combinatorial probability,counting techniques and combinatorial probability,general probability,general probability,general probability,49.85000000000001,3,3.18,6.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-08-25 15:13:45.2330000 +00:00847195.04,P2016-08-25 11:13:45,P,e,2016-08-25T15:13:45Z,11.216666666666667,2016-08-25,FALSE,FALSE,20,5.04,2,2,Thursday,14.116666666666667,moments,moments,moments,univariate probability distributions,univariate probability distributions,univariate probability distributions,35.73333333333335,3,3.18,6.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-08-25 15:13:45.2330000 +00:001941810.79,P2016-08-25 11:13:45,P,e,2016-08-25T15:13:45Z,11.216666666666667,2016-08-25,TRUE,FALSE,19,10.79,2,2,Thursday,3.2333333333333334,other,policy limit,policy limit,insurance and risk management,insurance and risk management,insurance and risk management,32.500000000000014,3,3.18,6.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-08-25 15:13:45.2330000 +00:0014144.52,P2016-08-25 11:13:45,P,e,2016-08-25T15:13:45Z,11.216666666666667,2016-08-25,TRUE,FALSE,15,4.52,2,2,Thursday,0.23333333333333334,normal approximation,normal approximation,normal approximation,univariate probability distributions,univariate probability distributions,univariate probability distributions,32.150000000000006,3,3.18,6.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-08-25 15:13:45.2330000 +00:0012105.07,P2016-08-25 11:13:45,P,e,2016-08-25T15:13:45Z,11.216666666666667,2016-08-25,TRUE,FALSE,11,5.07,2,2,Thursday,0.2,deductible,deductible,deductible,insurance and risk management,insurance and risk management,insurance and risk management,31.73333333333335,3,3.18,6.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-08-25 15:13:45.2330000 +00:001077.44,P2016-08-25 11:13:45,P,e,2016-08-25T15:13:45Z,11.216666666666667,2016-08-25,FALSE,FALSE,8,7.44,2,2,Thursday,0.16666666666666666,deductible,deductible,deductible,insurance and risk management,insurance and risk management,insurance and risk management,31.433333333333337,3,3.18,6.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-08-25 15:13:45.2330000 +00:00104268.4,P2016-08-25 11:13:45,P,e,2016-08-25T15:13:45Z,11.216666666666667,2016-08-25,FALSE,FALSE,7,8.4,2,2,Thursday,17.366666666666667,joint distributions and marginal distributions,joint distributions and marginal distributions,joint distributions and marginal distributions,multivariate probability distributions,multivariate probability distributions,multivariate probability distributions,14.066666666666663,3,3.18,6.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-08-25 15:13:45.2330000 +00:00956.26,P2016-08-25 11:13:45,P,e,2016-08-25T15:13:45Z,11.216666666666667,2016-08-25,TRUE,FALSE,6,6.26,2,2,Thursday,0.15,covariance and coefficient of correlation,covariance and coefficient of correlation,covariance and coefficient of correlation,multivariate probability distributions,multivariate probability distributions,multivariate probability distributions,13.916666666666686,3,3.18,6.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-08-25 15:13:45.2330000 +00:00214410.29,P2016-08-25 11:13:45,P,e,2016-08-25T15:13:45Z,11.216666666666667,2016-08-25,TRUE,FALSE,5,10.29,2,2,Thursday,3.566666666666667,other,bayes theorem,bayes theorem,general probability,general probability,general probability,10.349999999999994,3,3.18,6.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-08-25 15:13:45.2330000 +00:0045733.76,P2016-08-25 11:13:45,P,e,2016-08-25T15:13:45Z,11.216666666666667,2016-08-25,FALSE,FALSE,4,3.76,2,2,Thursday,7.616666666666666,other,discrete distributions: bernoulli and binomial,discrete distributions: bernoulli and binomial,univariate probability distributions,univariate probability distributions,univariate probability distributions,2.7333333333333485,3,3.18,6.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-08-25 15:13:45.2330000 +00:00826.13,P2016-08-25 11:13:45,P,e,2016-08-25T15:13:45Z,11.216666666666667,2016-08-25,TRUE,FALSE,3,6.13,2,2,Thursday,0.13333333333333333,other,multivariate transformations,multivariate transformations,multivariate probability distributions,multivariate probability distributions,multivariate probability distributions,2.5999999999999943,3,3.18,6.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-08-25 15:13:45.2330000 +00:0014913.82,P2016-08-25 11:13:45,P,e,2016-08-25T15:13:45Z,11.216666666666667,2016-08-25,FALSE,FALSE,2,3.82,2,2,Thursday,2.4833333333333334,normal approximation,normal approximation,normal approximation,univariate probability distributions,univariate probability distributions,univariate probability distributions,0.11666666666667425,3,3.18,6.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-08-25 15:13:45.2330000 +00:00703.98,P2016-08-25 11:13:45,P,e,2016-08-25T15:13:45Z,11.216666666666667,2016-08-25,FALSE,FALSE,1,3.98,2,2,Thursday,0.11666666666666667,other,continuous distributions: exponential,continuous distributions: exponential,univariate probability distributions,univariate probability distributions,univariate probability distributions,0,3,3.18,6.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-08-26 20:21:30.1130000 +00:00734306.84,P2016-08-26 16:21:30,P,e,2016-08-26T20:21:30Z,16.35,2016-08-26,TRUE,FALSE,30,6.84,3,3,Friday,12.233333333333333,normal approximation,normal approximation,normal approximation,univariate probability distributions,univariate probability distributions,univariate probability distributions,180.41666666666669,3,3.18,6.18,29.129133333298896,54,75.05999999999999,40.67999999999999,2.1,24.45,0,0,0,6.299999999999997,0,0,0,0.08393285371702636
2016-08-26 20:21:30.1130000 +00:0015294.75,P2016-08-26 16:21:30,P,e,2016-08-26T20:21:30Z,16.35,2016-08-26,FALSE,FALSE,29,4.75,3,3,Friday,0.25,other,policy limit,policy limit,insurance and risk management,insurance and risk management,insurance and risk management,180.16666666666669,3,3.18,6.18,29.129133333298896,36,129.69,129.69,123.9,123.9,0,29.1,142.74,129.69,0,0,0,1
2016-08-26 20:21:30.1130000 +00:00226286.57,P2016-08-26 16:21:30,P,e,2016-08-26T20:21:30Z,16.35,2016-08-26,FALSE,FALSE,28,6.57,3,3,Friday,3.7666666666666666,deductible,deductible,deductible,insurance and risk management,insurance and risk management,insurance and risk management,176.4,3,3.18,6.18,29.129133333298896,36,112.59,45.63,1.8,3.3,0,0,97.10999999999999,-21.330000000000002,0,0,0,-0.1894484412470024
2016-08-26 20:21:30.1130000 +00:00204275.4,P2016-08-26 16:21:30,P,e,2016-08-26T20:21:30Z,16.35,2016-08-26,FALSE,FALSE,27,5.4,3,3,Friday,3.4,conditional distributions and independence of random variables,conditional distributions and independence of random variables,conditional distributions and independence of random variables,multivariate probability distributions,multivariate probability distributions,multivariate probability distributions,173,3,3.18,6.18,29.129133333298896,63,0,0,0,0,0,0,243.9,0,0,0,0,0
2016-08-26 20:21:30.1130000 +00:00241266.03,P2016-08-26 16:21:30,P,e,2016-08-26T20:21:30Z,16.35,2016-08-26,TRUE,FALSE,26,6.03,3,3,Friday,4.016666666666667,other,continuous distributions: normal,continuous distributions: normal,univariate probability distributions,univariate probability distributions,univariate probability distributions,168.98333333333335,3,3.18,6.18,29.129133333298896,54,0,0,0,0,0,0,0,0,0,0,0,0
2016-08-26 20:21:30.1130000 +00:00564254.69,P2016-08-26 16:21:30,P,e,2016-08-26T20:21:30Z,16.35,2016-08-26,TRUE,FALSE,25,4.69,3,3,Friday,9.4,order statistics,order statistics,order statistics,multivariate probability distributions,multivariate probability distributions,multivariate probability distributions,159.58333333333334,3,3.18,6.18,29.129133333298896,63,0,0,0,0,0,0,243.9,0,0,0,0,0
2016-08-26 20:21:30.1130000 +00:00788246.95,P2016-08-26 16:21:30,P,e,2016-08-26T20:21:30Z,16.35,2016-08-26,FALSE,FALSE,24,6.95,3,3,Friday,13.133333333333333,deductible,deductible,deductible,insurance and risk management,insurance and risk management,insurance and risk management,146.45000000000002,3,3.18,6.18,29.129133333298896,36,112.59,45.63,1.8,3.3,0,0,97.10999999999999,-21.330000000000002,0,0,0,-0.1894484412470024
2016-08-26 20:21:30.1130000 +00:00457238.39,P2016-08-26 16:21:30,P,e,2016-08-26T20:21:30Z,16.35,2016-08-26,FALSE,FALSE,23,8.39,3,3,Friday,7.616666666666666,conditional probability and independence,conditional probability and independence,conditional probability and independence,general probability,general probability,general probability,138.83333333333334,3,3.18,6.18,29.129133333298896,45,43.11,0,0,200.25,0,0,169.65,-43.11,0,0,0,-1
2016-08-26 20:21:30.1130000 +00:00152225.63,P2016-08-26 16:21:30,P,e,2016-08-26T20:21:30Z,16.35,2016-08-26,TRUE,FALSE,22,5.63,3,3,Friday,2.533333333333333,other,multivariate distributions: bivariate uniform,multivariate distributions: bivariate uniform,multivariate probability distributions,multivariate probability distributions,multivariate probability distributions,136.3,3,3.18,6.18,29.129133333298896,63,68.31,0,0,109.05000000000001,0,0,243.9,-68.31,0,0,0,-1
2016-08-26 20:21:30.1130000 +00:0087217.07,P2016-08-26 16:21:30,P,e,2016-08-26T20:21:30Z,16.35,2016-08-26,FALSE,TRUE,21,7.07,3,3,Friday,1.45,other,continuous distributions: gamma,continuous distributions: gamma,univariate probability distributions,univariate probability distributions,univariate probability distributions,134.85000000000002,3,3.18,6.18,29.129133333298896,54,0,0,0,0,0,0,0,0,0,0,0,0
2016-08-26 20:21:30.1130000 +00:00571205.13,P2016-08-26 16:21:30,P,e,2016-08-26T20:21:30Z,16.35,2016-08-26,FALSE,TRUE,20,5.13,3,3,Friday,9.516666666666667,deductible,deductible,deductible,insurance and risk management,insurance and risk management,insurance and risk management,125.33333333333334,3,3.18,6.18,29.129133333298896,36,112.59,45.63,1.8,3.3,0,0,97.10999999999999,-21.330000000000002,0,0,0,-0.1894484412470024
2016-08-26 20:21:30.1130000 +00:00184194.66,P2016-08-26 16:21:30,P,e,2016-08-26T20:21:30Z,16.35,2016-08-26,TRUE,FALSE,19,4.66,3,3,Friday,3.066666666666667,other,basic probability concepts,basic probability concepts,general probability,general probability,general probability,122.26666666666668,3,3.18,6.18,29.129133333298896,45,37.89,37.89,54.9,54.9,0,0,238.04999999999998,37.89,0,0,0,1
2016-08-26 20:21:30.1130000 +00:0046185.11,P2016-08-26 16:21:30,P,e,2016-08-26T20:21:30Z,16.35,2016-08-26,FALSE,TRUE,18,5.11,3,3,Friday,0.7666666666666667,other,discrete distributions: discrete uniform,discrete distributions: discrete uniform,univariate probability distributions,univariate probability distributions,univariate probability distributions,121.5,3,3.18,6.18,29.129133333298896,54,0,0,0,0,0,0,0,0,0,0,0,0
