,Ticker,Company,Current_Price,TTM_Dividend_per_Share,Dividend_Yield_%
0,KDP,Keurig Dr Pepper,28.48,122.87,431.35
1,PCG,PG&E Corporation,15.35,62.2,405.344
2,WY,Weyerhaeuser Company,21.43,85.8233,400.48
3,DOC,"Healthpeak Properties, Inc.",17.32,51.6643,298.379
4,MO,"Altria Group, Inc.",58.2,154.6272,265.66
5,HST,Host Hotels &,17.27,42.1931,244.244
6,T,AT&T Inc.,25.36,51.5642,203.328
7,BBWI,Bath & Body,19.22,36.8488,191.721
8,FMC,FMC Corporation,13.29,25.2306,189.918
9,ARE,Alexandria Real Estate,46.64,83.17,178.323
10,VZ,Verizon Communications Inc.,41.22,68.4292,166.029
11,C,Citigroup Inc.,108.5,174.5564,160.874
12,CAG,"Conagra Brands, Inc.",16.97,26.1207,153.963
13,F,Ford Motor Company,13.12,20.1602,153.681
14,KIM,Kimco Realty Corporation,20.43,30.2723,148.212
15,AIG,"American International Group,",77.87,112.4566,144.416
16,BXP,"BXP, Inc.",70.71,100.456,142.068
17,IP,International Paper Company,39.36,54.2348,137.792
18,KEY,KeyCorp,19.13,26.3108,137.505
19,CNP,"CenterPoint Energy, Inc.",38.47,52.6714,136.915
20,VFC,V.F. Corporation,18.59,24.7212,132.945
21,CPB,The Campbell's Company,29.41,38.392,130.541
22,WHR,Whirlpool Corporation,80.33,103.52,128.876
23,D,"Dominion Energy, Inc.",60.15,73.4193,122.058
24,BAX,Baxter International Inc.,18.68,22.5713,120.864
25,OXY,Occidental Petroleum Corporation,42.71,51.2685,120.039
26,PPL,PPL Corporation,34.27,40.5913,118.463
27,UDR,"UDR, Inc.",35.39,41.4555,117.139
28,EIX,Edison International,57.66,66.2535,114.904
29,PFE,Pfizer Inc.,25.69,29.4534,114.628
30,EQR,Equity Residential,61.95,70.378,113.605
31,HBAN,Huntington Bancshares Incorporated,17.16,19.2231,112.056
32,ED,"Consolidated Edison, Inc.",96.58,106.4554,110.221
33,FE,FirstEnergy Corp.,45.41,48.423,106.647
34,AEP,American Electric Power,118.25,124.688,105.444
35,EXC,Exelon Corporation,43.92,45.5853,103.792
36,FRT,Federal Realty Investment,97.5,99.935,102.497
37,O,Realty Income Corporation,58.03,56.6481,97.61
38,REG,Regency Centers Corporation,69.38,66.902,96.435
39,BEN,"Franklin Resources, Inc.",23.32,21.8179,93.563
40,BMY,Bristol-Myers Squibb Company,51.87,48.3521,93.218
41,SLB,SLB N.V.,38.29,35.1483,91.795
42,RF,Regions Financial Corporation,26.6,24.3217,91.435
43,ES,Eversource Energy,65.85,59.044,89.664
44,DUK,Duke Energy Corporation,118.31,104.5283,88.351
45,EVRG,"Evergy, Inc.",74.01,65.2825,88.208
46,GIS,"General Mills, Inc.",46.06,40.6268,88.195
47,DTE,DTE Energy Company,133.48,117.5234,88.046
48,CCL,Carnival Corporation &,25.73,22.6225,87.906
49,PNW,Pinnacle West Capital,88.36,76.196,86.238
